modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro
qwen2.5:3b,F1,1,1,1,9,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1
qwen2.5:3b,F1,1,1,1,10,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F1,1,2,3,9,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F1,1,2,3,15,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F1,1,3,19,15,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F1,1,3,19,5,lanceiro,arqueiro,neutra,nao,3,2,desperdicio,-1,1
qwen2.5:3b,F1,1,4,15,9,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F1,1,4,15,10,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F1,1,5,7,5,lanceiro,arqueiro,neutra,nao,3,4,suicidio,1,1
qwen2.5:3b,F1,1,5,7,6,lanceiro,cavaleiro,neutra,sim,3,2,desperdicio,-1,1
qwen2.5:3b,F1,1,14,7,9,arqueiro,cavaleiro,neutra,nao,3,6,suicidio,3,0
qwen2.5:3b,F1,2,1,1,7,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1
qwen2.5:3b,F1,2,1,1,9,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F1,2,2,1,11,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F1,2,2,1,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1
qwen2.5:3b,F1,2,3,19,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F1,2,3,19,8,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F1,2,4,19,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F1,2,4,19,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F1,3,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F1,3,1,1,7,cavaleiro,cavaleiro,neutra,neutro,3,2,desperdicio,-1,0
