modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro,exemploTipo,exemploNEnvios
qwen2.5:3b,E3,1,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E3,1,1,1,5,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E3,1,2,3,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E3,1,2,3,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E3,1,4,5,19,arqueiro,arqueiro,neutra,neutro,2,2,otimo,0,0,lanceiro,1
qwen2.5:3b,E3,1,5,3,17,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,arqueiro,1
qwen2.5:3b,E3,1,6,5,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E3,1,6,5,8,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E3,1,7,5,6,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E3,1,7,5,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E3,1,7,5,8,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E3,1,8,5,14,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,cavaleiro,3
qwen2.5:3b,E3,1,11,19,8,arqueiro,cavaleiro,neutra,nao,1,6,suicidio,5,0,arqueiro,1
qwen2.5:3b,E3,1,13,1,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio,2,1,arqueiro,1
