modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro,exemploTipo,exemploNEnvios
qwen2.5:3b,E1,1,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E1,1,1,1,5,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E1,1,2,3,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E1,1,2,3,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E1,1,4,3,19,arqueiro,arqueiro,neutra,neutro,2,2,otimo,0,0,lanceiro,2
qwen2.5:3b,E1,1,7,19,6,arqueiro,cavaleiro,neutra,nao,1,4,suicidio,3,0,lanceiro,2
qwen2.5:3b,E1,1,9,5,12,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1,lanceiro,2
qwen2.5:3b,E1,1,10,3,17,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,arqueiro,2
qwen2.5:3b,E1,1,11,5,8,lanceiro,cavaleiro,neutra,sim,1,3,suicidio,2,1,arqueiro,2
qwen2.5:3b,E1,1,13,13,7,lanceiro,cavaleiro,neutra,sim,3,3,otimo,0,1,arqueiro,2
qwen2.5:3b,E1,1,13,13,9,lanceiro,cavaleiro,neutra,sim,3,3,otimo,0,1,arqueiro,2
qwen2.5:3b,E1,2,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E1,2,1,1,5,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E1,2,2,1,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,arqueiro,2
qwen2.5:3b,E1,2,2,1,5,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,arqueiro,2
