modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro,exemploTipo,exemploNEnvios
qwen2.5:3b,E0,1,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E0,1,1,1,5,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E0,1,2,3,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E0,1,2,3,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E0,1,5,1,6,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,1,5,1,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,1,6,3,9,cavaleiro,cavaleiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,1,6,3,7,cavaleiro,cavaleiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,1,7,5,9,lanceiro,cavaleiro,neutra,sim,2,2,otimo,0,1,lanceiro,2
qwen2.5:3b,E0,1,7,3,17,lanceiro,lanceiro,neutra,neutro,2,3,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,1,8,3,9,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,1,8,3,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,1,9,3,9,arqueiro,cavaleiro,neutra,nao,1,4,suicidio,3,0,lanceiro,2
qwen2.5:3b,E0,1,9,5,9,arqueiro,cavaleiro,neutra,nao,2,4,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,1,12,5,7,cavaleiro,cavaleiro,neutra,neutro,1,4,suicidio,3,0,lanceiro,2
qwen2.5:3b,E0,1,12,5,9,cavaleiro,cavaleiro,neutra,neutro,1,4,suicidio,3,0,lanceiro,2
qwen2.5:3b,E0,2,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E0,2,1,1,5,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E0,2,2,1,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,2,2,1,5,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,2,3,3,21,cavaleiro,arqueiro,neutra,sim,1,1,otimo,0,0,lanceiro,2
qwen2.5:3b,E0,2,6,3,19,arqueiro,cavaleiro,neutra,nao,2,4,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,2,6,3,7,arqueiro,cavaleiro,neutra,nao,2,4,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,2,13,5,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E0,2,14,5,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E0,2,14,5,8,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,2
qwen2.5:3b,E0,3,1,1,3,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1,lanceiro,2
qwen2.5:3b,E0,3,2,1,5,lanceiro,arqueiro,neutra,nao,3,2,desperdicio,-1,1,lanceiro,2
qwen2.5:3b,E0,3,2,1,23,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1,lanceiro,2
qwen2.5:3b,E0,3,3,1,23,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,3,3,3,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E0,3,4,3,7,arqueiro,cavaleiro,neutra,nao,3,2,desperdicio,-1,1,lanceiro,1
qwen2.5:3b,E0,3,11,17,21,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,1
qwen2.5:3b,E0,4,1,1,3,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1,lanceiro,2
qwen2.5:3b,E0,4,1,1,5,lanceiro,lanceiro,neutra,neutro,4,2,desperdicio,-2,1,lanceiro,2
qwen2.5:3b,E0,4,2,1,3,cavaleiro,arqueiro,neutra,sim,1,1,otimo,0,0,lanceiro,2
qwen2.5:3b,E0,4,3,1,15,cavaleiro,lanceiro,neutra,nao,2,2,otimo,0,0,lanceiro,2
qwen2.5:3b,E0,4,3,3,4,cavaleiro,,inimigo,neutro,1,1,otimo,0,0,lanceiro,2
qwen2.5:3b,E0,4,4,3,19,lanceiro,arqueiro,neutra,nao,2,2,otimo,0,1,lanceiro,2
qwen2.5:3b,E0,4,4,5,17,arqueiro,arqueiro,neutra,neutro,2,2,otimo,0,0,lanceiro,2
qwen2.5:3b,E0,4,5,13,7,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,2
qwen2.5:3b,E0,4,5,13,6,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,2
qwen2.5:3b,E0,4,7,5,6,lanceiro,arqueiro,neutra,nao,4,4,otimo,0,1,lanceiro,2
qwen2.5:3b,E0,4,8,5,6,lanceiro,arqueiro,neutra,nao,1,4,suicidio,3,1,lanceiro,2
qwen2.5:3b,E0,4,10,13,5,arqueiro,lanceiro,inimigo,sim,2,1,desperdicio,-1,0,lanceiro,2
qwen2.5:3b,E0,5,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E0,5,1,1,5,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1,lanceiro,2
qwen2.5:3b,E0,5,2,3,7,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,5,2,3,8,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,5,4,3,23,arqueiro,arqueiro,neutra,neutro,1,2,suicidio,1,0,lanceiro,2
qwen2.5:3b,E0,5,5,1,7,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E0,5,5,3,6,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E0,5,6,3,7,arqueiro,lanceiro,neutra,sim,2,2,otimo,0,0,lanceiro,2
qwen2.5:3b,E0,5,6,5,7,lanceiro,lanceiro,neutra,neutro,5,3,desperdicio,-2,1,lanceiro,2
qwen2.5:3b,E0,5,7,3,7,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E0,5,8,21,9,arqueiro,arqueiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,5,9,21,19,cavaleiro,cavaleiro,neutra,neutro,1,3,suicidio,2,0,lanceiro,2
qwen2.5:3b,E0,5,10,5,7,lanceiro,lanceiro,neutra,neutro,3,4,suicidio,1,1,lanceiro,2
qwen2.5:3b,E0,5,14,5,9,lanceiro,arqueiro,neutra,nao,1,6,suicidio,5,1,lanceiro,2
qwen2.5:3b,E0,5,14,5,7,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1,lanceiro,2
