modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro
qwen2.5:3b,F3,1,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F3,1,1,1,7,cavaleiro,cavaleiro,neutra,neutro,3,2,desperdicio,-1,0
qwen2.5:3b,F3,1,2,5,7,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1
qwen2.5:3b,F3,1,2,5,8,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1
qwen2.5:3b,F3,1,3,1,7,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1
qwen2.5:3b,F3,1,4,1,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1
qwen2.5:3b,F3,1,12,3,9,lanceiro,cavaleiro,neutra,sim,5,3,desperdicio,-2,1
qwen2.5:3b,F3,1,13,15,9,lanceiro,cavaleiro,neutra,sim,3,3,otimo,0,1
qwen2.5:3b,F3,1,14,15,11,arqueiro,lanceiro,neutra,sim,1,3,suicidio,2,0
qwen2.5:3b,F3,1,15,7,9,lanceiro,cavaleiro,neutra,sim,5,4,desperdicio,-1,1
qwen2.5:3b,F3,1,15,7,11,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1
qwen2.5:3b,F3,2,1,1,7,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1
qwen2.5:3b,F3,2,1,1,9,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F3,2,2,1,21,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F3,2,2,1,9,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F3,2,3,19,7,lanceiro,cavaleiro,neutra,sim,10,1,desperdicio,-9,1
qwen2.5:3b,F3,2,3,19,8,lanceiro,lanceiro,neutra,neutro,10,2,desperdicio,-8,1
qwen2.5:3b,F3,2,4,19,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F3,2,4,19,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F3,2,7,19,3,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1
qwen2.5:3b,F3,2,7,19,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F3,2,11,19,3,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1
qwen2.5:3b,F3,2,11,19,4,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1
qwen2.5:3b,F3,3,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F3,3,1,1,7,cavaleiro,cavaleiro,neutra,neutro,3,2,desperdicio,-1,0
qwen2.5:3b,F3,3,2,5,23,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio,-1,1
qwen2.5:3b,F3,3,2,5,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F3,3,3,23,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio,-2,1
qwen2.5:3b,F3,3,3,5,9,arqueiro,arqueiro,neutra,neutro,1,2,suicidio,1,0
qwen2.5:3b,F3,3,5,17,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1
qwen2.5:3b,F3,3,5,17,8,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1
qwen2.5:3b,F3,3,12,17,9,arqueiro,arqueiro,neutra,neutro,2,3,suicidio,1,0
qwen2.5:3b,F3,3,13,5,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1
qwen2.5:3b,F3,3,14,5,9,lanceiro,arqueiro,neutra,nao,2,2,otimo,0,1
qwen2.5:3b,F3,3,14,5,8,lanceiro,arqueiro,neutra,nao,2,6,suicidio,4,1
qwen2.5:3b,F3,4,1,1,7,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1
qwen2.5:3b,F3,4,1,1,8,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1
qwen2.5:3b,F3,4,2,1,3,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F3,4,3,3,7,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F3,4,3,3,6,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F3,4,4,3,19,arqueiro,arqueiro,neutra,neutro,9,2,desperdicio,-7,1
qwen2.5:3b,F3,4,4,13,7,lanceiro,arqueiro,neutra,nao,2,2,otimo,0,1
qwen2.5:3b,F3,4,6,3,5,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1
qwen2.5:3b,F3,4,7,19,7,lanceiro,arqueiro,neutra,nao,8,2,desperdicio,-6,1
qwen2.5:3b,F3,4,9,11,5,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1
qwen2.5:3b,F3,4,9,11,6,lanceiro,arqueiro,neutra,nao,8,4,desperdicio,-4,1
qwen2.5:3b,F3,4,13,5,6,lanceiro,arqueiro,neutra,nao,6,4,desperdicio,-2,1
qwen2.5:3b,F3,4,13,13,7,arqueiro,arqueiro,neutra,neutro,2,3,suicidio,1,0
qwen2.5:3b,F3,5,1,1,9,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1
qwen2.5:3b,F3,5,1,1,7,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F3,5,2,3,9,lanceiro,arqueiro,neutra,nao,10,2,desperdicio,-8,1
qwen2.5:3b,F3,5,2,1,5,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1
qwen2.5:3b,F3,5,3,5,7,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F3,5,3,5,8,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F3,5,4,11,6,lanceiro,lanceiro,neutra,neutro,10,2,desperdicio,-8,1
qwen2.5:3b,F3,5,4,11,7,lanceiro,lanceiro,neutra,neutro,10,2,desperdicio,-8,1
qwen2.5:3b,F3,5,8,13,7,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1
qwen2.5:3b,F3,5,9,7,6,lanceiro,lanceiro,neutra,neutro,8,3,desperdicio,-5,1
qwen2.5:3b,F3,5,9,7,9,lanceiro,arqueiro,neutra,nao,8,4,desperdicio,-4,1
qwen2.5:3b,F3,5,10,5,6,cavaleiro,lanceiro,neutra,nao,1,6,suicidio,5,0
qwen2.5:3b,F3,5,11,6,9,lanceiro,arqueiro,neutra,nao,6,6,otimo,0,1
qwen2.5:3b,F3,5,12,3,9,arqueiro,arqueiro,neutra,neutro,4,4,otimo,0,0
qwen2.5:3b,F3,5,13,7,9,arqueiro,arqueiro,neutra,neutro,1,4,suicidio,3,0
qwen2.5:3b,F3,5,15,9,12,arqueiro,lanceiro,neutra,sim,2,3,suicidio,1,0
qwen2.5:3b,F3,5,15,5,14,arqueiro,lanceiro,neutra,sim,3,4,suicidio,1,0
