modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro
qwen2.5:3b,F2,1,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio,-2,1
qwen2.5:3b,F2,1,1,1,7,cavaleiro,cavaleiro,neutra,neutro,3,2,desperdicio,-1,0
qwen2.5:3b,F2,1,2,5,7,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1
qwen2.5:3b,F2,1,2,5,8,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1
qwen2.5:3b,F2,1,3,1,7,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio,-1,1
qwen2.5:3b,F2,1,4,1,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1
qwen2.5:3b,F2,1,10,15,7,lanceiro,cavaleiro,neutra,sim,4,3,desperdicio,-1,1
qwen2.5:3b,F2,1,11,7,9,lanceiro,cavaleiro,neutra,sim,3,3,otimo,0,1
qwen2.5:3b,F2,1,12,5,19,arqueiro,arqueiro,neutra,neutro,6,4,desperdicio,-2,0
qwen2.5:3b,F2,1,13,9,12,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1
qwen2.5:3b,F2,2,1,1,7,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio,-4,1
qwen2.5:3b,F2,2,1,1,9,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1
qwen2.5:3b,F2,2,2,1,21,lanceiro,arqueiro,neutra,nao,1,2,suicidio,1,1
qwen2.5:3b,F2,2,2,1,9,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F2,2,3,19,7,lanceiro,cavaleiro,neutra,sim,10,1,desperdicio,-9,1
qwen2.5:3b,F2,2,3,19,8,lanceiro,lanceiro,neutra,neutro,10,2,desperdicio,-8,1
qwen2.5:3b,F2,2,4,19,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F2,2,4,19,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F2,2,6,19,3,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1
qwen2.5:3b,F2,2,6,19,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F2,2,8,19,3,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1
qwen2.5:3b,F2,2,8,19,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1
qwen2.5:3b,F2,2,14,19,3,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1
qwen2.5:3b,F2,2,14,19,5,lanceiro,lanceiro,neutra,neutro,1,4,suicidio,3,1
qwen2.5:3b,F2,2,15,19,3,lanceiro,lanceiro,neutra,neutro,1,6,suicidio,5,1
